id,historical_year,year_basis,technology_id,technology_name_en,technology_name_ja,historical_output_en,historical_output_ja,game_output_id,game_output_name_en,game_output_name_ja,game_output_category,source_url,notes
12,1831,experimental discovery,generatorAndMotor,Electromagnetic induction and Faraday disk,電磁誘導とファラデー円板,Generator principle,発電機の原理,Generator;Electricity,Generator;Electricity,発電機;電力,capital Good; capacity service,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,This is a scientific and experimental prerequisite; commercial electricity needs later machinery and distribution infrastructure.
13,1837,system demonstrated,electricalEngineering,Electric telegraph,電信,Long-distance electrical communication,長距離電気通信,Copper Wire,Copper Wire,銅線,intermediate Good,https://www.loc.gov/collections/samuel-morse-papers/articles-and-essays/invention-of-the-telegraph/,Morse sought funding and demonstrated his system in 1837. Copper wire is both a communications input and a prerequisite for later power systems.
14,1838,first recorded all-steam transatlantic crossing,oceanSteamNavigation,SS Great Western transatlantic voyage,蒸気船グレート・ウェスタン号の大西洋横断,Ocean-going steamship service,外洋蒸気船航路サービス,Marine Steam Engine;Steamship;Steamship service,Marine Steam Engine;Steamship;Steamship service,舶用蒸気機関;蒸気船;蒸気船航路サービス,capital Good; Shipbuilding asset; capacity service,https://tile.loc.gov/storage-services/public/gdcmassbookdig/moderncontempora03scha/moderncontempora03scha.pdf,The cited account records Great Western as the first ship to cross the Atlantic using steam for the entire trip in 1838. Treat this as the commercialisation threshold for dependable ocean steam routes.
15,1842,patent granted,phosphateFertilizer,Superphosphate manufacture,過リン酸石灰の製造,Superphosphate fertilizer,過リン酸肥料,Phosphate Fertilizer,Phosphate Fertilizer,リン酸肥料,agricultural input Good,https://www.rothamsted.ac.uk/history-rothamsted-research,Lawes patented acid treatment of bones and mineral phosphates and then established a commercial fertilizer factory. This links sulfuric acid to agricultural diffusion.
16,1856,process publicly presented,modernSteelmaking,Bessemer process,ベッセマー法,Bulk steel,量産鋼,Steel,Steel,鋼,intermediate Good,https://collection.sciencemuseumgroup.org.uk/people/cp37019/henry-bessemer,Bessemer presented the process in 1856; the Science Museum also records a pilot converter's first steel cast in 1865. Use 1856 as the technology milestone and require later adoption evidence in simulation.
17,1859,first U.S. petroleum well,petroleumDrilling,Modern petroleum drilling,近代石油掘削,Crude oil,原油,Crude Oil,Crude Oil,原油,raw material Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,The cited timeline records the first petroleum oil well in Pennsylvania. Drilling alone unlocks crude supply; refining remains a separate node.
18,1860,first engine built,internalCombustionEngine,Lenoir internal-combustion engine,ルノワール内燃機関,Early internal-combustion engine,初期内燃機関,Internal Combustion Engine,Internal Combustion Engine,内燃機関,capital Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,The early engine demonstrates a new motive-power path but should not by itself unlock mass transport or petroleum dependence.
19,1870,practical generator perfected,generatorAndMotor,Gramme dynamo,グラム発電機,Practical electrical generator,実用発電機,Generator,Generator,発電機,capital Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,The cited timeline dates Gramme's workable generator to 1870. It turns steam or water mechanical power into local electrical capacity.
20,1876,practical engine perfected,internalCombustionEngine,Otto four-stroke engine,オットー四行程機関,Practical internal-combustion engine,実用内燃機関,Internal Combustion Engine,Internal Combustion Engine,内燃機関,capital Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,The practical Otto engine is a later adoption threshold after fuel refining lubricants and precision parts are available.
21,1879,patent and commercialisation,electricLighting,Incandescent lamp system,白熱灯システム,Electric lighting equipment,電気照明設備,Electricity,Electricity,電力,capacity service,https://www.energy.gov/articles/history-light-bulb,The source dates Edison's first patent to 1879 and notes subsequent commercialisation. Model lighting as a demand on electricity capacity rather than a storable electricity Good.
22,1882,commercial utility began,powerGrid,Pearl Street central station,パール・ストリート中央発電所,Central generation and distribution service,中央発電・配電サービス,Electricity,Electricity,電力,capacity service,https://www.energy.gov/oe/articles/electricity-transmission-primer?nrg_redirect=16369,Pearl Street began an early local direct-current distribution system. A game power grid should require generators copper wire and network capacity at individual burgs.
23,1886,independent invention and commercial process,electrolyticAluminum,Hall-Heroult process,ホール・エルー法,Commercial aluminium production,商業的アルミニウム生産,Alumina;Aluminum,Alumina;Aluminum,アルミナ;アルミニウム,intermediate Good; refined metal Good,https://www.sciencehistory.org/education/scientific-biographies/paul-heroult-and-charles-m-hall/,Hall and Heroult independently found a commercially viable electrolytic route in 1886. The process is intentionally gated by large stable electricity supply.
24,1909,laboratory synthesis demonstrated,syntheticAmmonia,Haber ammonia synthesis,ハーバーのアンモニア合成,Synthetic ammonia,合成アンモニア,Synthetic Ammonia,Synthetic Ammonia,合成アンモニア,chemical intermediate Good,https://www.sciencehistory.org/stories/magazine/peak-phosphorus/,Haber converted nitrogen to ammonia in 1909. Treat this as demonstration only until high-pressure industrial equipment is in place.
25,1913,industrial process came online,syntheticAmmonia,Haber-Bosch industrial process,ハーバー・ボッシュ工業法,Industrial ammonia and nitrogen fertilizer feedstock,工業的アンモニアと窒素肥料原料,Synthetic Ammonia;Nitrogen Fertilizer,Synthetic Ammonia;Nitrogen Fertilizer,合成アンモニア;窒素肥料,chemical intermediate Good; agricultural input Good,https://www.sciencehistory.org/stories/magazine/dirty-business/,Bosch scaled the laboratory reaction and the process came online in 1913. The technology also creates an explosives feedstock so agricultural and military demand must remain separate.
