id,name_en,name_ja,category,lock_type,required_climate,typical_origin,first_prominence,peak_era,modern_status,trade_character,historical_role,goods_data_status,existing_good,register_recommendation,priority,suggested_value_band,notes
agarwood,Agarwood / aloeswood,沈香,incense,climate,infected tropical heartwood,SE Asia,medieval,long luxury tail,extreme luxury,compact_luxury,Rarer than frankincense; incense and medicine.,umbrella,Incense,keep_umbrella,C,22+,
camphor,Camphor,樟脳,incense,climate,tropical/subtropical laurel or dipterocarp,Borneo/Sumatra then Formosa,medieval medicine,19c Formosa camphor,synthetics,compact_luxury,Medicine mothproofing and later celluloid. A distinctive East Asian cargo.,missing,,register_new,B,10-20,
musk,Musk,ジャコウ,incense,ecological_monopoly,musk deer; highland Asia,Himalaya / Siberia,medieval,medieval–early modern perfume,mostly synthetic,compact_luxury,Animal perfume in the same luxury class as ambergris and civet.,missing,,keep_umbrella,C,22+,Perfume already exists as a finished Good.
ambergris,Ambergris,龍涎香,incense,ecological_monopoly,sperm-whale intestine; warm seas,tropical/subtropical oceans,medieval,medieval–early modern (plague perfume),rare,compact_luxury,Burned against plague miasma; extreme perfume ingredient.,missing,,keep_umbrella,C,22+,Do not confuse with Amber (Baltic fossil resin — European).
cinchona,Cinchona / quinine,キナ皮／キニーネ,medicinal,ecological_monopoly,Andean cloud forest,Peru/Bolivia then Java plantations,17c Jesuit bark,19c imperial medicine until synthetics,mostly synthetic,compact_luxury,The only reliable malaria prophylactic of the empire age. Seed smuggling to Java created a Dutch plantation monopoly.,missing,,register_new,A,10-20,Strategic medicinal. 17c+ gate.
opium,Opium,阿片,medicinal,partial,poppies grow in Europe; Bengal was the trade source,India (Bengal/Malwa) to China; also medicine in Europe,18c EIC,19c Opium Wars,illicit / pharmaceutical,compact_luxury,Historically huge but not climate-locked for Europe. Europe was more a re-exporter and a medical consumer than a climate importer.,missing,,keep_umbrella,C,10-20,Skip unless a China-trade scenario is modelled.
guaiacum,Guaiacum,グアヤック,medicinal,climate,Caribbean dry tropical wood,Caribbean,16c syphilis wood,16c–17c,historic,compact_luxury,Early New World wonder drug; quickly faded.,missing,,keep_umbrella,C,10-20,
rubber,Rubber,ゴム,latex,climate,Hevea brasiliensis; everwet tropics,Amazon wild then Malaya/Ceylon/Sumatra after 1876,pre-Columbian Mesoamerica; Europe after vulcanisation 1839,1890–1914 wild then plantation boom,still strategic; synthetics compete,strategic_raw,Vulcanisation made it an industrial necessity (tyres waterproofing insulation). Wickham's seeds shifted production to SE Asia.,missing,,register_new,A,3-8,"04 draft value 8 biome(7). Disable on medieval maps. chance 0 on Europe maps."
gutta-percha,Gutta-percha,ガッタパーチャ,latex,climate,Palaquium trees of the Malay world,Malay Peninsula / Borneo / Sumatra,1843 introduction to Britain,1850s–1900 submarine telegraph era,displaced by synthetics,strategic_raw,The only practical deep-sea cable insulator of the 19c. Transatlantic and imperial cables depended on it. Harvesting felled wild trees.,missing,,register_new,A,3-8,Do not fold into Rubber; the use-case and era are unique.
palm-oil,Palm oil,パーム油,oilseed,climate,oil palm; wet tropics,West Africa then SE Asia,early–mid 19c,19c soap/machine oil; late 20c–present food/chem,one of the largest tropical commodities,bulk_commodity,Replaced tallow in soap and lubricated early industry. 20c–21c food and oleochemical staple.,missing,,register_new,A,1-2,Industrial and modern gates. High bulk low value.
copra,Copra / coconut oil,コプラ,oilseed,climate,coconut coasts,Pacific and Indian Ocean tropics,19c,19c–20c,still traded,bulk_commodity,Dried coconut meat for oil and soap.,missing,,register_new,C,1-2,Can sit under Palm oil if catalogue space is tight.
mahogany,Mahogany,マホガニー,timber,climate,tropical hardwood forest,Caribbean / Central America,18c,18c–19c furniture and fittings,restricted luxury timber,bulk_commodity,Prestige cabinet wood. Already in GOODS_DATA.,registered,Mahogany,already_registered,B,10-20,value 10. Almost never places on Europe maps.
teak,Teak,チーク,timber,climate,monsoon deciduous forest,India / Burma / Java,early modern shipbuilding,18c–20c naval timber,strategic timber,strategic_raw,Deck and structural timber that resists rot better than European oak in the tropics.,missing,,register_new,B,3-8,Or keep under Mahogany as tropical timber.
ebony,Ebony,黒檀,timber,climate,tropical hardwood,Africa / India,antiquity–medieval,long luxury tail,luxury timber,compact_luxury,Inlay and instrument wood. 04 already maps ebony onto Mahogany.,umbrella,Mahogany,keep_umbrella,C,10-20,
porcelain,Porcelain,磁器,manufacture,artisan,kaolin plus high-fire kilns; knowledge lock,Jingdezhen (China) until Meissen 1710,16c kraak porcelain,16c–18c 'white gold',later European industry,manufactured_luxury,Paid for with New World silver via Manila. Europe treated it as a precious good until it learned the recipe.,missing,,register_new,A,10-20,"04 draft value 14. chance 0; not a biome good. Ceramics stays the common ware."
ivory,Ivory,象牙,animal_luxury,climate,tropical elephants (walrus is a northern substitute),Africa / India,antiquity–medieval,medieval–19c then collapse,banned / historic,compact_luxury,Carving and luxury inlay. Current Good is an Elephant recipe so it will not appear without elephants.,registered,Ivory,already_registered,B,22+,value 35. Do not add a wild scatter on Europe maps.
pearls,Pearls,真珠,animal_luxury,climate,warm seas / oyster beds,Persian Gulf; India; later Americas,antiquity,medieval–early modern,cultured industry,compact_luxury,Compact high-value cargo on the medieval Alexandria–Venice route.,registered,Pearls,already_registered,B,10-20,Needs coral/warm-shore habitats.
coral,Coral,珊瑚,animal_luxury,climate,coral reefs,tropical/subtropical reefs; some Med. red coral,antiquity,long luxury tail,restricted,compact_luxury,Jewellery and reliquary material.,registered,Coral,already_registered,B,10-20,
tortoiseshell,Tortoiseshell,玳瑁,animal_luxury,climate,tropical hawksbill turtle,tropical seas,early modern,17c–19c luxury craft,banned,compact_luxury,Combs inlays and luxury furniture veneer.,missing,,register_new,B,10-20,
elephants,Elephants,象,live_animal,climate,savanna and tropical forest,Africa / India,antiquity war elephants,occasional prestige import,conservation,live_animal,Military prestige animal. Already climate-locked to biomes 1/3/5/7.,registered,Elephants,already_registered,B,22+,
camels,Camels,ラクダ,live_animal,partial,hot or cold desert,Arabia / Sahara / Central Asia,antiquity,trans-Saharan and Silk Road,regional,live_animal,Desert transport. Appears if the Europe map has desert.,registered,Camels,already_registered,C,10-20,Not extra-European if Andalusia-like desert exists.
dates,Dates,棗椰子,staple,partial,hot arid plus irrigation,North Africa / Middle East,antiquity,long regional trade,regional staple,bulk_commodity,Already treated as a Middle Eastern chest import in value notes.,registered,Dates,already_registered,B,3-8,
rice,Rice,米,staple,partial,warm wetland or irrigated river,Asia; limited Po/Valencia/Camargue,medieval luxury then staple,early modern–present,global staple,bulk_commodity,Medieval Europe imported rice as a luxury. Wet-rice heartlands are extra-European.,missing,,register_new,B,1-2,04 draft exists. Not a hard lock on the far south.
bananas,Bananas,バナナ,staple,climate,frost-free tropics,Caribbean / Central America after 19c refrigerated shipping,late 19c,20c 'banana republic' cargo,bulk fruit,bulk_commodity,Became a mass European food only with steamships and refrigeration.,missing,,register_new,B,1-2,Modern gate. Poor medieval cargo (spoilage).
guano,Guano,グアノ,fertilizer,mineral_geography,arid seabird islands,Chincha Islands (Peru) and other Pacific islands,1840,1840–1870s; Haber–Bosch 1909 ends the boom,historic,bulk_commodity,Best natural nitrogen fertiliser of the mid-19c. Peruvian state monopoly; Chincha War and later Pacific War. Suggested as a blight vector to Ireland.,missing,,register_new,A,1-2,19c-only. High bulk. Strategic for ag-tech once that system exists.
cowries,Cowries,子安貝,animal_luxury,climate,tropical Indian Ocean,Maldives to West Africa,medieval–early modern,17c–19c West African currency,historic,compact_luxury,Currency good more than a European consumer import.,missing,,register_new,C,3-8,Useful only if African trade is modelled.
new-world-silver,New World silver,新大陸銀,mineral,mineral_geography,Andean/Mexican deposits,Potosí; Zacatecas; Mexico,1545 Potosí,16c–18c global silver cycle,ordinary metal,compact_luxury,First global currency metal. Manila galleons paid for silk and porcelain.,registered,Silver Ingot,mineral_source,B,10-20,Do not add a new Good; seed extra-European silver into port markets.
west-african-gold,West African gold,西アフリカ金,mineral,mineral_geography,Birimian shields / Sahel,Ghana/Mali/Akan then Brazil/Witwatersrand,medieval trans-Saharan,medieval Mali; 18c Brazil; 1886 Rand,ordinary metal,compact_luxury,Trans-Saharan gold paid for salt and manufactures before the Atlantic reroute.,registered,Gold Ingot,mineral_source,B,22+,
diamonds,Diamonds,ダイヤモンド,mineral,mineral_geography,cratonic pipes,India then Brazil (1720s) then Kimberley (1867),medieval Indian stones,18c–present,still a luxury/industrial mineral,compact_luxury,India supplied Europe until Brazilian then South African rushes.,umbrella,Gemstones,mineral_source,B,10-20,
chilean-nitrate,Chilean nitrate,チリ硝石,mineral,mineral_geography,Atacama evaporites,Tarapacá / Antofagasta,1880s,1880–1914 (fertiliser and powder),Haber–Bosch substitute,strategic_raw,Successor to guano. Pacific War prize. Feeds Saltpeter/Gunpowder.,registered,Saltpeter,mineral_source,B,3-8,
petroleum,Petroleum,石油,mineral,mineral_geography,sedimentary basins,Pennsylvania/Baku then Middle East,1859,20c–present,the modern strategic cargo,bulk_commodity,Current Oil Good is mostly olive/whale. Extra-European crude needs a separate source or a retagged mineral Oil.,registered,Oil,mineral_source,A,1-2,Modern. Do not grow biome Oil on Europe farmland.
malayan-tin,Malayan tin,マレー錫,mineral,mineral_geography,SE Asian tin belt,Malaya / Bangka,19c,19c–20c,still mined,bulk_commodity,Industrial tinplate and canning.,registered,Tin Ore,mineral_source,C,3-8,
potato,Potatoes,ジャガイモ,staple,none,cool temperate — grows in Europe,Andes then Europe,16c introduction,18c–19c European staple,local staple,bulk_commodity,Columbian crop that naturalised and changed European demography. Not an import good after introduction.,registered,Potatoes,skip_naturalized,—,1-2,Already local food. postMedieval tag is the right handle.
maize,Maize,トウモロコシ,staple,none,warm temperate — grows in southern Europe,Americas then Old World,16c,local staple,local staple,bulk_commodity,High-yield naturalised grain. Not a long-haul luxury.,missing,,skip_naturalized,—,1-2,04 draft is for local biome output not import.
saffron,Saffron,サフラン,spice,none,Mediterranean crocus,Spain / Italy / Iran,medieval,medieval luxury,local luxury,compact_luxury,A month's skilled wages per pound in 15c England — but it is a European crop.,umbrella,Spices,skip_naturalized,—,22+,Do not treat as extra-European.
wool-newworld,Colonial wool,植民地羊毛,textile,none,temperate grassland,Australia / Argentina,19c refrigeration/clippers,19c–present,bulk,bulk_commodity,Temperate extra-European; Europe can grow wool.,registered,Wool,skip_naturalized,—,1-2,
furs,Furs,毛皮,textile,none,boreal / cold forest,Siberia / Canada / Scandinavia,medieval,early modern beaver/sable,luxury niche,compact_luxury,Latitude-compatible with Europe. Siberian/Canadian furs are geographic not climatic outsiders.,registered,Furs,skip_naturalized,—,3-8,Already a northern European good.
