id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,tradition,associated_figure,source_text,rpg_examples,notes
uaithne,Uaithne,ウアイネ,Dagda's harp,instrument,two_hand,2H,harp,n/a,n/a,Ireland,Medieval Irish,mythology,Tuatha Dé Danann,The Dagda,Cath Maige Tuired,rare,三つの調べで涙・笑い・眠り
samson_jawbone,Jawbone of an ass,ろばの顎骨,Samson's weapon,main_hand,main_hand,1H,improvised,n/a,n/a,Levant,Biblical,religious_legend,Abrahamic,Samson,Judges 15,rare,千人を討つ即興武器
wand_of_circe,Wand of Circe,キルケーの杖,transforming wand,main_hand,main_hand,1H,wand,n/a,n/a,Greece,Homeric,epic,Greek,Circe,Odyssey 10,D&D wand analog,人を豚に変える
rod_of_aaron,Rod of Aaron,アロンの杖,budding staff,main_hand,main_hand,1H,staff,n/a,n/a,Levant,Biblical,religious_legend,Abrahamic,Aaron; Moses,Exodus; Numbers,rare,蛇に変わり、芽吹く
moses_staff,Staff of Moses,モーセの杖,see Aaron in some strands,main_hand,main_hand,1H,staff,n/a,n/a,Levant,Biblical,religious_legend,Abrahamic,Moses,Exodus,rare,海を分け、岩から水
nehushtan,Nehushtan,ネフシュタン,bronze serpent,n/a,n/a,n/a,standard,n/a,n/a,Levant,Biblical,religious_legend,Abrahamic,Moses,Numbers 21; 2 Kings 18,rare,掲げて蛇の害を癒す。後に偶像として砕かれる
thunderbird_club,Thunderbird club,サンダーバードの棍,Pacific Northwest,two_hand,main_hand+off_hand,2H,club,n/a,n/a,Pacific Northwest,oral,mythology,Indigenous NW Coast,Thunderbird,oral traditions,rare,雷鳥伝承の打撃具。地域差が大きい
kongo_sho,Vajra (kongōsho),金剛杵,see Vajra,main_hand,main_hand,1H,ritual_bolt,n/a,n/a,Japan / Tibet,Buddhist,religious_legend,Buddhist,vajra deities,tantric implements,jRPGs,独鈷・三鈷・五鈷。法具がRPG武器化
sistrum,Sistrum of Hathor,シストルム,ritual rattle,main_hand,main_hand,1H,rattle,n/a,n/a,Egypt,Pharaonic,mythology,Egyptian,Hathor; Isis,temple cult,rare,武器ではなく祭楽器
ankh_as_held,Ankh,アンク,key of life,off_hand,off_hand,1H,symbol,n/a,n/a,Egypt,Pharaonic,mythology,Egyptian,gods,reliefs,RPGs,神が死者に差し出す生命記号。武器ではない
eye_of_ra_uraeus,Uraeus,ウラエウス,rearing cobra,head or off_hand,head,worn,serpent,n/a,n/a,Egypt,Pharaonic,mythology,Egyptian,Ra; pharaoh,regalia,rare,王冠のコブラ。敵を焼く目
