id,name_en,name_ja,alt_names,slot,occupies,shape,grip,height_cm,width_or_diameter_cm,weight_kg,weight_class,size_class,coverage,construction,origin_region,period,attestation,rpg_examples,notes
tengpai,Tengpai,藤牌,rattan shield,shield,off_hand,round convex,enarmes,70-90,70-90,2.0-3.5,light,medium,torso,rattan coil,China,Ming-Qing,historical,wuxia,明代歩兵の籐製円盾。火器時代まで残る
korean_deungpae,Deungpae,藤牌（朝鮮）,pae,shield,off_hand,round or oval,enarmes,60-90,50-80,2.0-4.0,light,medium,torso,rattan or wood,Korea,Joseon,historical,,朝鮮軍の籐・木盾
hide_round_shield,Hide round shield,皮円盾,nguba type,shield,off_hand,round or oval,enarmes or center,50-90,50-90,1.5-3.5,light,medium,torso,hide over frame,Africa / various,Iron Age to Early Modern,historical,,軽量。地域差が大きい
viking_round_shield,Viking round shield,ヴァイキング円盾,Norse round; early medieval round,shield,off_hand,flat or slightly dished round,center grip behind boss,70-95,70-95,3.0-5.5,medium,medium,shoulder to thigh in line,planked wood (often lime/pine) leather or linen facing iron boss,Northern Europe,8C-11C,both,Skyrim Banded Iron Shield analog; many Viking RPGs,Gokstad 例は直径約90-94cm。板厚 5-12mm。完成品復元は概ね 3-5kg。革全面張りだと重く 7kg超の推計もある
anglo_saxon_round_shield,Anglo-Saxon round shield,アングロサクソン円盾,,shield,off_hand,round,center grip,45-92,45-92,2.5-5.0,medium,medium,torso,wood with boss,England,5C-11C,historical,,小型例（直径50cm前後）から大型まで
early_medieval_round,Early medieval round shield,初期中世円盾,Norman round (pre-kite),shield,off_hand,round,center grip or mixed,60-90,60-90,3.0-5.0,medium,medium,torso,wood leather boss,Western Europe,5C-10C,both,generic Round Shield in DQ/FF,RPGの「ラウンドシールド」の歴史核
clipeus,Clipeus,クリペウス,clipeus,shield,off_hand,round dished,porpax-like or handles,60-90,60-90,4.0-7.0,medium,medium,torso,wood bronze-faced,Rome / Italy,Regal-Republic then parade,historical,,初期ローマ重装の円盾。後に儀礼
aspis,Aspis,アスピス,hoplon,shield,off_hand,strongly convex round,porpax (armband) + antilabe (hand grip),80-100,80-100,6.0-8.5,heavy,large,chin to thigh in phalanx,wood core bronze face leather rim,Greece,Archaic-Classical,both,RPG Hoplon/Aspis,ホプリテスの大型円盾。直径約90cmが典型。重量は復元 6-8kg級。横列で重ねる
pelte,Pelte,ペルテ,peltast shield,shield,off_hand,crescent or round light,handle,50-70,50-70,1.0-2.5,light,medium,torso,wicker or wood hide-covered,Thrace / Greece,Classical,historical,light shield,軽装ペルタスト用。三日月型が図像に多い
thureos,Thureos,テュレオス,thyreos,shield,off_hand,oval with central spine,enarmes,100-120,50-65,4.0-6.5,medium,large,shoulder to knee,wood leather,Hellenistic / Celtic influence,3C BC-1C AD,historical,,ケルト系楕円盾のヘレニズム版
celtic_oval_shield,Celtic oval shield,ケルト楕円盾,La Tene shield,shield,off_hand,oval with spindle boss,center grip,100-120,50-60,4.0-6.0,medium,large,shoulder to knee,wood leather,Celtic Europe,Iron Age,historical,,バタシーの盾は儀礼金工。実戦品は木製楕円
dipylon_shield,Dipylon shield,ディピロンの盾,figure-eight Geometric,shield,off_hand,figure-eight,shoulder strap plus grip,100-140,50-70,4.0-7.0,medium,large,torso,wicker or wood,Greece,Geometric,historical,rare,8世紀頃の大型。側部がくびれる
mycenaean_figure_eight,Mycenaean figure-eight shield,ミケーネ8の字盾,tower-and-figure-eight,shield,off_hand,figure-eight,telamon strap,120-160,60-80,6.0-10.0,heavy,large,almost full body,oxhide on frame,Aegean,Late Bronze Age,historical,,壁画の大型体盾。後のタワーシールド幻想の祖の一つ
egyptian_hide_shield,Egyptian hide shield,エジプト皮盾,New Kingdom infantry shield,shield,off_hand,rounded-top rectangular,handle,60-80,40-50,2.0-4.0,light,medium,torso,wood frame hide,Egypt,Bronze Age,historical,,歩兵用。ファラオ儀礼盾は別
sumerian_full_body_shield,Sumerian body shield,シュメール体盾,phalanx pavise ancestor,shield,off_hand,tall rectangular,two-hand or bearer,150-180,50-80,8.0-15.0,very_heavy,planted_or_large,full body,hide on frame,Mesopotamia,3rd millennium BC,historical,,ウルのスタンダードの密集長盾
scutum_republican,Republican scutum,共和政スクトゥム,oval scutum,shield,off_hand,oval convex,center grip behind umbo,110-125,70-80,8.0-10.0,heavy,large,shoulder to shin,plywood leather canvas iron rim and boss,Rome,4C-1C BC,historical,TES Imperial; Rome Total War,Polybius: 幅約76cm 長さ約120cm。重量は10kg前後の記述・復元が多い
scutum_imperial,Imperial scutum,帝政スクトゥム,rectangular curved scutum,shield,off_hand,rectangular semi-cylindrical,center grip,94-110,60-84 (curve chord ~40-50),6.0-10.0,heavy,large,shoulder to knee,three-ply wood leather,Rome,1C-3C AD,both,RPG Tower Shield ancestor,Dura-Europos例: 高さ105.5cm 弦幅41cm 深さ30cm。曲面のため正面投影は狭い
parma,Parma,パルマ,parma equestris,shield,off_hand,round,grip,80-90,80-90,3.5-6.0,medium,medium,torso,wood,Rome,Republic-Empire,historical,,騎兵・軽装・ヴェリテス。小型円
caetra,Caetra,カエトラ,cetratus shield,shield,off_hand,small round,center grip,30-60,30-60,1.5-3.0,light,small,torso center,hide/wood,Iberia,Iron Age-Roman,historical,,イベリア軽装の小円盾
late_roman_oval,Late Roman oval shield,後期ローマ楕円盾,skoutarion oval,shield,off_hand,oval dished,enarmes or mixed,100-118,70-90,5.0-8.0,heavy,large,shoulder to knee,wood,Rome / Byzantium,3C-7C,historical,,Dura-Europos 楕円盾は高さ107-118cm
byzantine_kite,Byzantine kite / almond,ビザンツ・カイト,skoutarion almond,shield,off_hand,almond / teardrop,enarmes,80-120,50-70,4.0-6.5,medium,large,torso and thigh,wood,Byzantium,9C-12C,historical,Norman kite と並行,歩兵用は110cm級、騎兵用は80-100cm級の推計
kite_shield,Kite shield,カイトシールド,Norman kite; almond; tapering shield; mandelschild,shield,off_hand,teardrop / almond rounded top tapering to point,enarmes plus guige,90-130,50-70 at top,4.0-6.5,medium,large,neck to shin (esp. rider's left leg),wood leather sometimes boss,Normandy / Western Europe,10C-12C,both,DQ カイトシールド; D&D kite; FF kite,Bayeux のノルマン騎兵盾。横幅を抑え脚を守る。12世紀前半に全長120cm級も。13世紀に短くなりヒーターへ
heater_shield,Heater shield,ヒーターシールド,écu; three-cornered; flatiron,shield,off_hand,inverted triangle with curved top (heater),enarmes plus guige often bouche later,45-80,35-55,1.5-3.5,light,medium,torso,linden/poplar board gesso leather paint,Western Europe,13C-15C,both,DQ ヒーター; D&D heater; heraldic shield,アイロン底に似ることから近代名称。Marburg残欠: 高さ60-82cm 幅47-54cm 残重1.8-3.5kg。完成は2-4kg程度。紋章の標準形
heater_with_bouche,Bouche heater,ブーシュ付きヒーター,lance-rest shield,shield,off_hand,heater with notch at dexter chief,enarmes,50-70,40-55,2.0-4.0,light,medium,torso plus lance rest,wood,Western Europe,14C-15C,historical,jousting,右上の切り欠きに槍を置く
hungarian_shield,Hungarian shield / tartsche,ハンガリー盾,tartsche; Hussite targe; bouche targe,shield,off_hand,tall with concave mouth and often wing,enarmes,60-90,40-60,2.5-5.0,medium,medium,torso and neck,wood,Central Europe,15C,historical,Dark Souls Heater variants,騎兵・軽騎の切り欠き盾。形状はヒーターから大きく変形
pavise,Pavise,パヴィース,pavis; wall shield; standing shield,shield,planted or off_hand,tall rectangle or oblong often with keel,enarmes plus prop,96-150,50-80,6.0-16.0,heavy_to_very_heavy,large_or_planted,full body when planted,wood linen sinew gesso paint,Italy / Central Europe,14C-16C,both,crossbowman cover; DQ おおたて,弩兵が地面に立てて射撃掩体にする。専用の盾持ちが付くことも。大は15kg級
setzshild,Setzschild,セツツシルト,planted pavise,shield,planted,very tall rectangle,prop,120-170,60-90,10.0-20.0,very_heavy,planted,full body,wood,German lands,15C,historical,siege,据え置き専用に近い大盾
mantlet,Mantlet,マントレット,mobile pavise; wheeled mantlet,shield,planted,huge rectangle sometimes wheeled,crew,150-220,80-150,20+,very_heavy,siege,multiple men,wood,Europe,Medieval,historical,not personal slot,攻城用移動掩体。個人装備ではない
adarga,Adarga,アダルガ,heart-shaped leather shield,shield,off_hand,heart / kidney,enarmes,70-80,60-75,2.0-4.0,light,medium,torso,layered leather,Iberia / Maghreb,Medieval to Early Modern,historical,Reconquista,軽く槍を受け流す。騎兵向き
nguni_ishlangu,IsiHlangu,イシフラング,Zulu war shield,shield,off_hand,large oval,center stick grip,100-140,50-80,2.0-5.0,light,large,torso to knee,cowhide,Southern Africa,18C-19C (type ancient in region),historical,African kits,色と大きさで部隊識別。軽く長い
aztec_chimalli,Chimalli,チマリ,Aztec shield,shield,off_hand,round,enarmes,60-80,60-80,2.0-4.0,light,medium,torso,cane/wood hide feather mosaic,Mesoamerica,Postclassic,historical,Mesoamerican RPGs,儀礼用は羽毛モザイク。実戦は杖と皮
japanese_tate,Tate,盾（たて）,standing tate,shield,planted,tall rectangle,prop or bearer,90-160,40-80,5.0-12.0,heavy,planted,full body,wood,Japan,Ancient to Early Modern,historical,rarely a PC slot in jRPGs,日本では個人携帯盾は少なく、陣地の立て盾が主
japanese_tedate,Tedate,手盾,hand tate,shield,off_hand,small rectangle or round,handle,40-70,30-50,2.0-4.0,light,medium,torso,wood,Japan,Sengoku,historical,uncommon in jRPGs,鉄砲隊・攻城で使う手持ち盾。普及は限定的
dueling_shield,Dueling shield,決闘盾,judicial dueling pavise,shield,off_hand,tall with sight slits and lantern hook,two handles,100-140,40-60,6.0-12.0,heavy,large,torso to shin,wood,Germany,15C,historical,niche,裁判決闘用の覗き窓付き長盾
wankel_targe,Wankel targe,ヴァンケル・タージ,jousting targe,shield,off_hand,small concave for joust,laced to cuirass,30-50,30-45,1.5-3.0,light,small,left shoulder/chest,wood,German joust,15C-16C,historical,not a field shield,甲に固定する競技盾。携帯戦闘用ではない
guige_note,Guige (strap),ギーグ（吊り紐）,shield strap,n/a,n/a,strap,worn from neck/shoulder,n/a,n/a,n/a,n/a,n/a,n/a,leather,Europe,Medieval,historical,,盾本体ではなく、非戦闘時や騎乗時に首から下げる帯
enarmes_note,Enarmes,エナルム（腕紐）,shield straps,n/a,n/a,straps,forearm,n/a,n/a,n/a,n/a,n/a,n/a,leather,Europe,Medieval,historical,,腕に通す固定紐。センターグリップ（ボス持ち）と対比
