id,name_en,name_ja,alt_names,slot,covers,material_class,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
shanwenjia,Shanwenjia,山文甲,mountain-pattern,body,torso,interlocking stars,10.0-16.0,China,Tang-Ming,historical,wuxia,星形札
paper_armor,Paper armor,紙甲,paper lamellar,body,torso,layered paper,4.0-8.0,China / Korea,Medieval,historical,rare,多層紙。湿気に弱い
oyoroi,O-yoroi,大鎧,,body,torso with o-sode,lamellar,18.0-30.0,Japan,Heian-Kamakura,both,genpei,騎射用の箱型。重い
domaru,Do-maru,胴丸,,body,torso wrapping,lamellar,10.0-16.0,Japan,Kamakura-Muromachi,historical,infantry samurai,右で合わせる
haramaki,Haramaki,腹巻,,body,torso back-opening,lamellar,8.0-14.0,Japan,Nanbokucho-Sengoku,historical,,背で合わせる
tosei_gusoku,Tosei gusoku,当世具足,modern armor,body,torso,plate/lamellar mix,8.0-15.0,Japan,Sengoku-Edo,both,sengoku RPGs,鉄砲時代の実用甲
niimai_do,Nimai-do,二枚胴,clamshell do,body,torso,iron two-piece,6.0-12.0,Japan,Sengoku,historical,,
tatami_gusoku,Tatami gusoku,畳具足,folding armor,body,torso,mail and small plates,5.0-10.0,Japan,Sengoku-Edo,historical,travel,携帯用
keiko,Keiko,挂甲,lamellar of ritsuryo,body,torso,lamellar,8.0-14.0,Japan,Nara-Heian,historical,,律令期
tanko,Tanko,短甲,vertical-plate cuirass,body,torso,iron plates,6.0-12.0,Japan,Kofun,historical,,
korean_gapgap,Gapgap / gabgap,甲（朝鮮）,Korean armor,body,torso,brigandine/mail,8.0-16.0,Korea,Joseon,historical,,
ichcahuipilli,Ichcahuipilli,イチカウイピリ,Aztec quilted,body,torso,cotton quilted,2.0-5.0,Mesoamerica,Postclassic,historical,Mesoamerican,綿の中綿甲。鉄より軽い
tlahiztli,Tlahuiztli,トラウィストリ,warrior suit,body,full costume,cloth plus cotton,2.0-6.0,Mesoamerica,Postclassic,historical,status suit,階級の全身衣
boiled_leather,Cuir bouilli,キュイ・ブイ,hardened leather,body,torso,leather,4.0-8.0,Europe,Medieval,historical,leather armor core,湯や蝋で硬化
white_armor,White armor,ホワイトアーマー,uncovered plate,body,full,bare steel,18.0-25.0,Europe,15C,historical,surcoat discarded,布を着ない磨き板金
surcoat,Surcoat,サーコート,tabard,body over armor,torso,cloth,0.5-1.5,Europe,12C-14C,historical,heraldry,甲の上の衣服。単独ACは低い
tabard,Tabard,タバード,,body,torso,cloth,0.4-1.0,Europe,14C-16C,historical,,
jupon,Jupon,ジュポン,tight surcoat,body,torso,cloth,0.4-1.0,Europe,14C,historical,,
clothes,Clothes / garments,衣服,everyday,body,torso,cloth,0.5-2.0,universal,universal,both,FMG Garments,非戦闘。FMG v1 body の既定
fine_garments,Fine garments,上等な衣服,court dress,body,torso,cloth/silk,1.0-3.0,universal,universal,both,FMG Q4-5,防具ではなく地位
